,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,16,120,15,14.431,0.000,0.302,0.412,0.373,0.343,0.738,0.319,0.000,0.774,0.436,0.855,0.298,1.567,0.452,2.176,0.225,0.670,24.000,1.500,2.773,-59.975,10.000,0.000,0.345,11.000
1,16,120,15,0.242,0.000,0.095,0.153,0.136,0.139,0.083,0.113,0.000,0.088,0.123,0.122,0.070,0.263,0.336,1.718,0.220,0.048,21.000,1.313,2.773,-6.896,8.000,0.000,0.242,5.000
2,16,120,15,0.203,0.000,0.065,0.086,0.053,0.052,0.046,0.066,0.000,0.067,0.093,0.063,0.044,0.491,0.195,1.533,0.215,0.187,22.000,1.375,2.773,-13.128,12.000,0.000,0.205,10.000
3,16,120,15,0.269,0.000,0.049,0.059,0.058,0.051,0.047,0.065,0.000,0.067,0.058,0.065,0.050,0.371,0.316,8.664,0.311,0.062,22.000,1.375,2.773,-7.931,10.000,0.000,0.463,11.000
4,16,120,15,0.267,0.000,0.045,0.103,0.085,0.047,0.047,0.065,0.000,0.070,0.086,0.060,0.049,0.389,0.202,0.845,0.211,0.042,29.000,1.813,2.773,-9.122,8.000,0.000,0.460,10.000
5,16,120,15,0.194,0.000,0.061,0.060,0.061,0.054,0.053,0.051,0.000,0.053,0.077,0.069,0.056,0.206,0.590,0.552,0.490,0.048,25.000,1.563,2.773,-8.228,9.000,0.000,0.307,8.000
6,16,120,15,0.509,0.000,0.043,0.062,0.063,0.044,0.050,0.053,0.000,0.051,0.054,0.061,0.042,0.297,0.300,0.458,0.314,0.048,23.000,1.438,2.773,-7.572,7.000,0.000,0.263,8.000
7,16,120,15,0.219,0.000,0.076,0.137,0.039,0.021,0.030,0.023,0.000,0.026,0.030,0.047,0.035,0.122,0.108,0.451,0.606,0.037,17.000,1.063,2.773,-5.148,8.000,0.000,0.188,5.000
8,16,120,15,0.242,0.000,0.023,0.035,0.048,0.031,0.026,0.030,0.000,0.029,0.050,0.049,0.027,0.151,0.051,0.072,0.297,0.016,17.000,1.063,2.773,-4.121,3.000,0.000,0.146,5.000
9,16,120,15,0.194,0.000,0.030,0.046,0.191,0.051,0.136,0.062,0.000,0.056,0.072,0.070,0.034,0.283,0.075,0.088,0.310,0.033,23.000,1.438,2.773,-6.742,10.000,0.000,0.324,9.000
