,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,8,28,7,8.454,0.000,0.038,0.054,0.051,0.049,0.046,0.052,0.000,0.045,0.048,2.636,0.031,0.696,0.105,0.250,0.036,0.127,16.000,2.000,2.079,-7.739,3.000,0.000,0.641,4.000
1,8,28,7,0.108,0.000,0.017,0.034,0.033,0.029,0.020,0.024,0.000,0.028,0.105,0.055,20.939,0.133,0.075,0.245,0.033,0.015,16.000,2.000,2.079,-3.802,2.000,0.000,0.750,3.000
2,8,28,7,0.175,0.000,0.617,0.042,0.046,0.045,0.024,0.029,0.000,0.048,0.041,0.046,0.041,0.132,0.088,0.292,0.033,0.018,20.000,2.500,2.079,-4.993,1.000,0.000,0.675,3.000
3,8,28,7,0.127,0.000,0.049,0.033,0.048,0.030,0.035,0.034,0.000,0.035,0.041,0.049,0.035,0.117,0.089,0.273,0.035,0.025,18.000,2.250,2.079,-4.899,2.000,0.000,0.571,3.000
4,8,28,7,0.119,0.000,0.047,0.059,0.049,0.061,0.022,0.030,0.000,0.037,0.035,0.068,0.050,0.085,0.114,0.251,0.033,0.034,16.000,2.000,2.079,-4.744,2.000,0.000,0.629,3.000
5,8,28,7,0.125,0.000,0.033,2.651,0.048,0.029,0.025,0.060,0.000,0.023,0.032,0.041,0.036,0.081,0.106,0.645,0.049,0.051,9.000,1.125,2.079,-3.029,5.000,0.000,0.263,3.000
6,8,28,7,0.147,0.000,0.033,0.032,0.043,0.034,0.026,0.027,0.000,0.028,0.038,0.040,0.039,0.087,0.235,0.249,0.033,0.057,16.000,2.000,2.079,-5.580,3.000,0.000,0.575,4.000
7,8,28,7,0.070,0.000,0.034,0.036,0.035,0.034,0.104,0.035,0.000,0.033,0.042,0.047,0.034,0.122,0.077,0.603,0.255,0.041,11.000,1.375,2.079,-3.454,4.000,0.000,0.482,5.000
8,8,28,7,0.070,0.000,0.018,0.032,0.020,0.020,0.026,0.022,0.000,0.022,0.022,0.039,0.019,0.064,0.062,0.520,0.032,0.027,9.000,1.125,2.079,-2.481,5.000,0.000,0.188,4.000
9,8,28,7,0.094,0.000,0.022,0.036,0.087,0.018,0.017,0.021,0.000,0.020,0.094,0.034,0.026,0.082,0.089,0.377,0.178,0.016,17.000,2.125,2.079,-4.082,2.000,0.000,0.638,4.000
