,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,64,2016,63,8.848,0.000,33.101,47.760,26.010,4.706,3.448,32.517,0.000,8.699,38.129,45.716,61.445,13.345,12.193,117.948,5.226,0.000,150.000,2.344,4.159,-0.000,47.000,0.000,0.523,0.000
1,64,2016,63,1.410,0.000,1.172,11.741,1.529,1.233,1.432,7.109,0.000,1.216,1.636,6.712,1.023,12.931,32.122,23.938,1.126,0.000,85.000,1.328,4.159,-0.000,33.000,0.000,0.047,0.000
2,64,2016,63,1.366,0.000,1.515,1.816,2.255,1.408,18.926,1.507,0.000,1.371,5.479,1.527,1.441,3.143,1.647,26.346,0.349,0.000,97.000,1.516,4.159,-0.000,38.000,0.000,0.112,0.000
3,64,2016,63,2.069,0.000,1.416,1.594,1.629,1.898,1.732,2.173,0.000,2.217,2.138,14.291,7.871,3.693,1.615,7.499,0.341,0.000,109.000,1.703,4.159,-0.000,38.000,0.000,0.281,0.000
4,64,2016,63,25.384,0.000,22.829,2.102,2.029,2.179,2.601,1.314,0.000,1.472,2.637,1.919,1.370,10.294,1.430,6.752,0.357,0.000,94.000,1.469,4.159,-0.000,37.000,0.000,0.106,0.000
5,64,2016,63,0.995,0.000,2.345,4.023,3.086,8.672,3.434,5.355,0.000,18.245,2.395,5.710,22.207,3.547,7.088,7.437,0.365,0.000,112.000,1.750,4.159,-0.000,36.000,0.000,0.217,0.000
6,64,2016,63,1.002,0.000,2.661,3.419,4.324,5.898,2.208,2.358,0.000,3.482,4.613,3.919,2.737,2.179,2.531,6.108,0.375,0.000,148.000,2.313,4.159,-0.000,41.000,0.000,0.279,0.000
7,64,2016,63,0.851,0.000,1.890,3.005,7.195,2.212,2.191,3.659,0.000,2.460,2.281,2.217,2.426,2.609,4.646,26.888,0.394,0.000,126.000,1.969,4.159,-0.000,39.000,0.000,0.191,0.000
8,64,2016,63,0.833,0.000,1.454,1.811,1.546,4.716,2.010,1.704,0.000,1.552,1.533,3.429,1.648,1.518,1.872,5.597,0.493,0.000,118.000,1.844,4.159,-0.000,39.000,0.000,0.110,0.000
9,64,2016,63,0.798,0.000,1.284,4.935,2.344,2.387,2.570,1.395,0.000,5.932,2.044,1.988,1.599,1.444,2.422,4.647,0.364,0.000,115.000,1.797,4.159,-0.000,37.000,0.000,0.181,0.000
10,64,2016,63,1.597,0.000,2.173,1.926,1.895,2.167,2.272,1.817,0.000,1.903,2.361,2.003,1.750,1.273,4.126,4.692,0.451,0.000,113.000,1.766,4.159,-0.000,35.000,0.000,0.165,0.000
11,64,2016,63,0.900,0.000,1.108,1.241,1.205,1.235,1.350,1.468,0.000,1.252,10.467,1.259,1.133,1.429,1.856,4.974,0.364,0.000,109.000,1.703,4.159,-0.000,41.000,0.000,0.178,0.000
12,64,2016,63,0.853,0.000,0.977,1.052,1.235,1.146,1.354,1.444,0.000,1.234,1.307,1.253,1.283,12.170,1.238,15.276,0.452,0.000,86.000,1.344,4.159,-0.000,35.000,0.000,0.014,0.000
13,64,2016,63,1.071,0.000,2.132,4.623,2.279,2.458,2.451,2.175,0.000,2.191,2.309,2.459,1.930,3.606,3.250,16.951,0.455,0.000,126.000,1.969,4.159,-0.000,43.000,0.000,0.467,0.000
14,64,2016,63,0.992,0.000,1.411,1.562,1.789,1.918,1.776,2.291,0.000,2.243,2.028,2.123,1.436,4.215,1.760,5.079,0.312,0.000,125.000,1.953,4.159,-0.000,47.000,0.000,0.361,0.000
15,64,2016,63,0.790,0.000,4.080,1.873,1.735,2.166,2.016,4.271,0.000,1.401,1.577,2.065,1.675,0.877,1.823,5.861,3.833,0.000,98.000,1.531,4.159,-0.000,38.000,0.000,0.049,0.000
16,64,2016,63,1.018,0.000,1.376,2.731,2.543,2.121,2.063,2.018,0.000,2.065,2.060,3.348,1.793,1.493,1.901,5.176,0.240,0.000,125.000,1.953,4.159,-0.000,48.000,0.000,0.410,0.000
17,64,2016,63,1.107,0.000,1.468,2.100,2.070,2.388,1.852,2.113,0.000,2.265,1.875,1.846,1.704,1.364,1.766,5.380,0.248,0.000,124.000,1.938,4.159,-0.000,35.000,0.000,0.314,0.000
18,64,2016,63,0.906,0.000,2.347,4.233,2.666,2.186,2.357,2.306,0.000,3.055,2.332,2.112,1.865,1.216,2.488,6.042,0.308,0.000,131.000,2.047,4.159,-0.000,43.000,0.000,0.563,0.000
19,64,2016,63,0.835,0.000,1.513,1.534,1.331,1.207,1.185,1.196,0.000,2.185,1.718,2.097,1.121,0.846,2.482,4.582,0.334,0.000,96.000,1.500,4.159,-0.000,38.000,0.000,0.195,0.000
20,64,2016,63,0.734,0.000,2.277,2.036,2.190,1.952,1.712,1.912,0.000,1.603,1.685,1.599,1.336,1.132,1.467,7.675,0.355,0.000,135.000,2.109,4.159,-0.000,41.000,0.000,0.419,0.000
21,64,2016,63,0.795,0.000,2.117,3.178,4.128,2.849,2.455,2.659,0.000,2.742,2.711,2.949,2.124,1.246,2.983,6.755,0.258,0.000,151.000,2.359,4.159,-0.000,44.000,0.000,0.332,0.000
22,64,2016,63,0.623,0.000,1.697,2.054,2.098,1.752,1.621,1.263,0.000,1.220,2.290,2.693,1.682,1.148,1.552,4.767,0.336,0.000,109.000,1.703,4.159,-0.000,31.000,0.000,0.105,0.000
23,64,2016,63,0.576,0.000,1.725,1.977,2.028,1.910,1.876,1.958,0.000,1.958,2.033,1.960,2.287,1.072,2.074,4.713,0.347,0.000,118.000,1.844,4.159,-0.000,46.000,0.000,0.329,0.000
24,64,2016,63,0.400,0.000,1.294,1.664,2.036,1.304,1.294,2.334,0.000,1.203,5.474,1.827,1.224,0.779,1.221,5.704,0.331,0.000,97.000,1.516,4.159,-0.000,36.000,0.000,0.131,0.000
25,64,2016,63,0.640,0.000,2.231,2.305,2.713,2.341,2.108,3.392,0.000,1.659,1.967,2.000,2.734,1.041,3.718,8.802,0.316,0.000,152.000,2.375,4.159,-0.000,41.000,0.000,0.417,0.000
26,64,2016,63,0.372,0.000,2.468,1.551,1.552,1.439,1.465,1.629,0.000,1.858,1.417,3.261,1.478,0.757,1.278,4.674,0.276,0.000,110.000,1.719,4.159,-0.000,37.000,0.000,0.185,0.000
27,64,2016,63,0.382,0.000,1.413,1.718,2.031,1.811,1.756,2.727,0.000,1.376,3.456,1.760,1.533,0.840,2.826,4.490,0.236,0.000,121.000,1.891,4.159,-0.000,38.000,0.000,0.325,0.000
28,64,2016,63,0.393,0.000,1.319,1.842,1.509,1.384,1.146,1.103,0.000,1.107,1.220,1.148,1.005,0.757,1.107,4.411,0.263,0.000,103.000,1.609,4.159,-0.000,36.000,0.000,0.160,0.000
29,64,2016,63,0.377,0.000,2.097,2.364,3.142,2.050,7.510,1.700,0.000,2.672,2.219,2.848,4.766,1.034,1.841,5.787,0.321,0.000,111.000,1.734,4.159,-0.000,36.000,0.000,0.264,0.000
30,64,2016,63,0.370,0.000,1.560,1.599,1.741,2.181,4.039,5.687,0.000,1.436,1.560,1.772,1.742,2.120,3.919,4.805,0.275,0.000,103.000,1.609,4.159,-0.000,39.000,0.000,0.188,0.000
31,64,2016,63,0.432,0.000,1.814,2.061,2.063,2.854,2.063,2.025,0.000,3.556,2.288,4.486,2.515,1.570,2.134,8.918,0.250,0.000,142.000,2.219,4.159,-0.000,38.000,0.000,0.281,0.000
32,64,2016,63,0.454,0.000,2.149,5.369,2.196,2.111,2.107,2.479,0.000,3.044,2.101,2.283,1.925,1.305,2.138,5.340,0.249,0.000,161.000,2.516,4.159,-0.000,36.000,0.000,0.424,0.000
33,64,2016,63,0.529,0.000,2.282,2.532,2.540,10.986,2.705,2.012,0.000,1.967,2.736,2.966,2.172,0.910,2.442,6.977,0.260,0.000,118.000,1.844,4.159,-0.000,37.000,0.000,0.162,0.000
34,64,2016,63,0.378,0.000,1.495,1.816,2.409,1.800,1.712,1.302,0.000,1.331,1.533,8.606,1.683,1.128,2.296,4.308,1.014,0.000,98.000,1.531,4.159,-0.000,36.000,0.000,0.062,0.000
35,64,2016,63,0.341,0.000,1.855,2.504,7.130,23.310,8.634,5.397,0.000,2.081,2.053,2.306,3.893,1.327,2.966,10.247,0.386,0.000,99.000,1.547,4.159,-0.000,41.000,0.000,0.115,0.000
36,64,2016,63,1.176,0.000,2.182,2.483,3.255,2.833,3.129,5.930,0.000,5.032,2.903,3.063,3.382,1.744,2.456,6.641,0.433,0.000,160.000,2.500,4.159,-0.000,39.000,0.000,0.454,0.000
37,64,2016,63,0.395,0.000,1.153,1.715,2.942,1.246,1.185,1.180,0.000,1.176,1.251,3.063,14.756,1.070,1.181,4.814,0.235,0.000,101.000,1.578,4.159,-0.000,40.000,0.000,0.179,0.000
38,64,2016,63,0.421,0.000,3.328,4.556,11.467,4.371,3.008,2.178,0.000,3.176,3.177,4.781,3.716,1.520,3.757,4.917,0.322,0.000,116.000,1.813,4.159,-0.000,38.000,0.000,0.182,0.000
