,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,16,120,15,11.802,0.000,0.640,5.494,0.599,2.817,0.561,0.616,0.000,0.611,0.709,1.271,0.785,1.350,0.981,7.152,0.232,1.456,51.000,3.188,2.773,135.801,7.000,0.000,0.639,8.000
1,16,120,15,0.328,0.000,0.304,0.373,0.417,0.299,0.299,0.218,0.000,0.223,0.250,0.263,0.103,0.532,0.798,3.297,0.340,0.203,61.000,3.813,2.773,-38.206,5.000,0.000,0.594,9.000
2,16,120,15,0.254,0.000,0.108,0.105,0.102,0.080,0.084,0.055,0.000,0.083,0.101,0.097,0.080,0.713,0.690,11.550,0.393,0.054,51.000,3.188,2.773,-17.501,6.000,0.000,0.549,7.000
3,16,120,15,0.633,0.000,0.090,0.108,0.091,0.118,0.095,0.086,0.000,0.084,0.084,0.124,0.355,0.703,1.195,2.548,0.228,0.089,60.000,3.750,2.773,-24.817,5.000,0.000,0.723,10.000
4,16,120,15,0.383,0.000,4.540,0.212,0.195,0.150,0.135,0.107,0.000,0.103,2.603,0.171,0.136,0.413,0.666,0.925,2.768,0.157,60.000,3.750,2.773,-32.429,4.000,0.000,0.585,9.000
5,16,120,15,0.304,0.000,0.096,0.160,0.107,0.104,0.081,0.080,0.000,0.080,0.084,0.110,0.077,0.318,3.115,5.348,0.228,0.080,61.000,3.813,2.773,-24.107,5.000,0.000,0.700,9.000
6,16,120,15,0.261,0.000,0.060,0.091,0.105,0.075,0.080,0.065,0.000,0.066,0.063,0.101,0.056,0.261,0.358,0.097,0.211,0.063,45.000,2.813,2.773,-16.289,8.000,0.000,0.456,8.000
7,16,120,15,0.335,0.000,0.122,0.136,0.162,0.136,0.120,0.113,0.000,0.120,0.119,0.159,0.128,0.441,0.362,0.142,0.236,0.115,69.000,4.313,2.773,-31.881,4.000,0.000,0.683,9.000
8,16,120,15,0.211,0.000,0.088,0.093,0.098,0.089,0.075,0.068,0.000,0.067,0.069,0.109,0.083,0.226,0.127,0.134,0.214,0.060,48.000,3.000,2.773,-17.032,6.000,0.000,0.535,8.000
9,16,120,15,0.230,0.000,0.254,0.189,0.249,0.200,0.159,0.118,0.000,0.111,0.120,0.318,0.403,0.561,0.276,0.147,0.328,0.119,64.000,4.000,2.773,-30.027,6.000,0.000,0.588,8.000
10,16,120,15,0.236,0.000,0.072,0.094,0.092,0.089,0.066,0.106,0.000,0.087,0.085,0.099,0.065,0.433,0.185,0.130,0.317,0.057,54.000,3.375,2.773,-18.845,6.000,0.000,0.818,9.000
11,16,120,15,0.188,0.000,0.071,0.075,0.081,0.070,0.069,0.084,0.000,0.083,0.090,0.083,0.074,0.435,0.137,0.108,0.309,0.056,41.000,2.563,2.773,-14.239,7.000,0.000,0.616,11.000
12,16,120,15,0.338,0.000,0.051,0.059,0.061,0.055,0.054,0.050,0.000,0.049,0.049,0.076,0.047,0.258,0.116,0.084,0.219,0.036,49.000,3.063,2.773,-14.684,7.000,0.000,0.644,9.000
13,16,120,15,0.084,0.000,0.045,0.050,0.055,0.049,0.048,0.055,0.000,0.055,0.049,0.053,0.044,0.126,0.097,0.071,0.193,0.043,47.000,2.938,2.773,-14.937,8.000,0.000,0.663,10.000
14,16,120,15,0.070,0.000,0.040,0.046,0.055,0.044,0.045,0.048,0.000,0.048,0.042,0.051,0.038,0.070,0.090,0.078,0.094,0.031,52.000,3.250,2.773,-14.946,5.000,0.000,0.600,9.000
15,16,120,15,0.083,0.000,0.065,0.063,0.077,0.061,0.060,0.064,0.000,0.058,0.062,0.067,0.061,0.085,0.134,0.093,0.047,0.045,72.000,4.500,2.773,-23.169,5.000,0.000,0.741,10.000
16,16,120,15,0.083,0.000,0.052,0.056,0.064,0.053,0.049,0.053,0.000,0.049,0.052,0.054,0.049,0.073,0.108,0.085,0.043,0.035,63.000,3.938,2.773,-18.819,6.000,0.000,0.733,9.000
17,16,120,15,0.070,0.000,0.051,0.045,0.059,0.048,0.042,0.056,0.000,0.051,0.054,0.049,0.050,0.068,0.107,0.077,0.043,0.034,51.000,3.188,2.773,-15.077,4.000,0.000,0.576,10.000
18,16,120,15,0.078,0.000,0.094,0.096,0.096,0.086,0.080,0.073,0.000,0.072,0.070,0.099,0.089,0.097,0.201,0.105,0.053,0.053,67.000,4.188,2.773,-22.778,5.000,0.000,0.605,8.000
19,16,120,15,0.088,0.000,0.048,0.061,0.075,0.056,0.050,0.058,0.000,0.056,0.053,0.062,0.045,0.091,0.126,0.098,0.052,0.039,61.000,3.813,2.773,-18.728,5.000,0.000,0.634,10.000
20,16,120,15,0.086,0.000,0.052,0.077,0.082,0.073,0.064,0.047,0.000,0.047,0.046,0.087,0.050,0.064,0.202,0.090,0.045,0.039,64.000,4.000,2.773,-19.682,2.000,0.000,0.656,7.000
21,16,120,15,0.066,0.000,0.043,0.051,0.054,0.049,0.048,0.052,0.000,0.051,0.054,0.055,0.043,0.068,0.081,0.069,0.041,0.036,44.000,2.750,2.773,-13.185,7.000,0.000,0.500,10.000
22,16,120,15,0.066,0.000,0.045,0.058,0.063,0.067,0.047,0.048,0.000,0.048,0.047,0.060,0.046,0.071,0.085,0.077,0.041,0.034,53.000,3.313,2.773,-15.651,5.000,0.000,0.569,9.000
23,16,120,15,0.075,0.000,0.049,0.065,0.068,0.059,0.058,0.056,0.000,0.056,0.050,0.067,0.043,0.079,0.102,0.081,0.045,0.041,59.000,3.688,2.773,-18.465,6.000,0.000,0.758,9.000
24,16,120,15,0.063,0.000,0.052,0.056,0.064,0.047,0.052,0.051,0.000,0.050,0.050,0.057,0.047,0.075,0.082,0.079,0.043,0.032,53.000,3.313,2.773,-15.421,7.000,0.000,0.486,9.000
25,16,120,15,0.072,0.000,0.051,0.057,0.069,0.052,0.053,0.054,0.000,0.055,0.056,0.057,0.050,0.076,0.082,0.081,0.043,0.042,59.000,3.688,2.773,-18.553,6.000,0.000,0.597,9.000
26,16,120,15,0.085,0.000,0.055,0.058,0.072,0.057,0.051,0.050,0.000,0.050,0.047,0.062,0.055,0.082,0.099,0.091,0.047,0.037,67.000,4.188,2.773,-20.260,3.000,0.000,0.669,8.000
27,16,120,15,0.080,0.000,0.077,0.068,0.080,0.071,0.064,0.048,0.000,0.048,0.047,0.070,0.072,0.080,0.111,0.089,0.057,0.037,63.000,3.938,2.773,-19.083,3.000,0.000,0.633,7.000
28,16,120,15,0.073,0.000,0.070,0.072,0.079,0.071,0.055,0.054,0.000,0.062,0.052,0.069,0.064,0.082,0.103,0.085,0.046,0.047,60.000,3.750,2.773,-19.601,5.000,0.000,0.615,9.000
29,16,120,15,0.073,0.000,0.052,0.051,0.058,0.043,0.045,0.049,0.000,0.053,0.047,0.054,0.048,0.111,0.071,0.080,0.111,0.033,55.000,3.438,2.773,-16.105,4.000,0.000,0.536,9.000
30,16,120,15,0.082,0.000,0.044,0.051,0.073,0.048,0.047,0.051,0.000,0.049,0.046,0.055,0.044,0.075,0.078,0.074,0.026,0.033,49.000,3.063,2.773,-14.332,5.000,0.000,0.590,9.000
31,16,120,15,0.079,0.000,0.049,0.056,0.062,0.039,0.054,0.032,0.000,0.031,0.039,0.058,0.047,0.050,0.084,0.078,0.026,0.022,51.000,3.188,2.773,-13.282,6.000,0.000,0.497,6.000
32,16,120,15,0.073,0.000,0.049,0.054,0.061,0.047,0.043,0.041,0.000,0.039,0.045,0.051,0.046,0.060,0.073,0.078,0.026,0.026,51.000,3.188,2.773,-13.943,5.000,0.000,0.537,8.000
33,16,120,15,0.069,0.000,0.044,0.065,0.074,0.054,0.054,0.050,0.000,0.054,0.053,0.137,0.066,0.073,0.092,0.082,0.028,0.032,56.000,3.500,2.773,-16.337,5.000,0.000,0.673,8.000
34,16,120,15,0.074,0.000,0.035,0.063,0.063,0.054,0.052,0.042,0.000,0.041,0.044,0.062,0.032,0.083,0.090,0.084,0.027,0.031,58.000,3.625,2.773,-16.645,5.000,0.000,0.628,8.000
35,16,120,15,0.077,0.000,0.045,0.065,0.062,0.061,0.054,0.057,0.000,0.056,0.053,0.072,0.042,0.086,0.094,0.085,0.027,0.041,61.000,3.813,2.773,-19.042,8.000,0.000,0.757,9.000
36,16,120,15,0.080,0.000,0.073,0.075,0.058,0.093,0.065,0.061,0.000,0.058,0.056,0.074,0.057,0.087,0.228,0.083,0.032,0.056,57.000,3.563,2.773,-19.816,5.000,0.000,0.681,9.000
37,16,120,15,0.089,0.000,0.058,0.064,0.078,0.055,0.058,0.058,0.000,0.060,0.058,0.064,0.057,0.087,0.095,0.091,0.029,0.042,68.000,4.250,2.773,-21.524,6.000,0.000,0.628,10.000
38,16,120,15,0.077,0.000,0.051,0.070,0.075,0.062,0.051,0.060,0.000,0.060,0.063,0.076,0.050,0.215,0.096,0.081,0.027,0.047,59.000,3.688,2.773,-19.313,6.000,0.000,0.804,10.000
39,16,120,15,0.079,0.000,0.051,0.065,0.064,0.049,0.043,0.056,0.000,0.056,0.052,0.059,0.049,0.063,0.083,0.084,0.027,0.039,58.000,3.625,2.773,-17.908,7.000,0.000,0.653,10.000
40,16,120,15,0.073,0.000,0.042,0.047,0.049,0.042,0.043,0.037,0.000,0.037,0.049,0.053,0.038,0.040,0.070,0.078,0.026,0.025,51.000,3.188,2.773,-13.775,4.000,0.000,0.573,8.000
41,16,120,15,0.074,0.000,0.044,0.055,0.054,0.050,0.051,0.050,0.000,0.093,0.050,0.062,0.042,0.049,0.079,0.076,0.030,0.040,53.000,3.313,2.773,-16.444,8.000,0.000,0.735,10.000
42,16,120,15,0.106,0.000,0.060,0.065,0.073,0.065,0.061,0.059,0.000,0.061,0.051,0.067,0.057,0.056,0.098,0.086,0.031,0.039,64.000,4.000,2.773,-19.656,5.000,0.000,0.704,9.000
43,16,120,15,0.096,0.000,0.081,0.088,0.096,0.080,0.072,0.060,0.000,0.054,0.062,0.083,0.076,0.051,0.130,0.094,0.030,0.044,68.000,4.250,2.773,-21.843,2.000,0.000,0.795,8.000
44,16,120,15,0.067,0.000,0.048,0.047,0.053,0.051,0.034,0.039,0.000,0.038,0.038,0.056,0.045,0.042,0.077,0.083,0.026,0.028,50.000,3.125,2.773,-14.007,7.000,0.000,0.533,8.000
45,16,120,15,0.078,0.000,0.059,0.056,0.061,0.050,0.052,0.051,0.000,0.050,0.049,0.058,0.052,0.047,0.084,0.073,0.025,0.034,48.000,3.000,2.773,-14.149,6.000,0.000,0.468,9.000
46,16,120,15,0.073,0.000,0.053,0.061,0.061,0.052,0.057,0.056,0.000,0.065,0.053,0.066,0.065,0.066,0.092,0.078,0.028,0.040,52.000,3.250,2.773,-16.102,5.000,0.000,0.523,9.000
47,16,120,15,0.072,0.000,0.059,0.066,0.067,0.062,0.057,0.058,0.000,0.057,0.056,0.066,0.053,0.058,0.094,0.084,0.027,0.038,58.000,3.625,2.773,-17.736,6.000,0.000,0.605,9.000
48,16,120,15,0.086,0.000,0.043,0.044,0.053,0.043,0.039,0.051,0.000,0.050,0.055,0.104,0.051,0.054,0.063,0.080,0.027,0.029,56.000,3.500,2.773,-15.830,4.000,0.000,0.638,10.000
49,16,120,15,0.097,0.000,0.070,0.068,0.083,0.065,0.060,0.050,0.000,0.048,0.048,0.076,0.067,0.057,0.102,0.091,0.029,0.039,70.000,4.375,2.773,-21.584,4.000,0.000,0.768,8.000
50,16,120,15,0.080,0.000,0.054,0.064,0.063,0.057,0.048,0.050,0.000,0.049,0.053,0.068,0.048,0.050,0.096,0.078,0.026,0.036,53.000,3.313,2.773,-15.988,5.000,0.000,0.644,9.000
