,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,14,91,13,20.333,0.000,0.623,0.553,0.807,0.541,0.672,0.262,0.000,0.233,0.231,1.171,0.412,1.110,0.584,25.288,0.231,0.347,37.000,2.643,2.639,-34.961,4.000,0.000,0.490,7.000
1,14,91,13,0.296,0.000,0.095,0.114,0.102,0.086,0.072,0.076,0.000,0.091,0.111,0.117,0.087,20.634,0.355,2.209,0.151,0.058,48.000,3.429,2.639,-16.896,3.000,0.000,0.575,8.000
2,14,91,13,0.575,0.000,0.078,0.107,0.080,0.095,0.079,0.092,0.000,0.358,0.094,0.122,0.076,0.290,0.354,2.006,0.149,0.058,46.000,3.286,2.639,-16.143,5.000,0.000,0.677,7.000
3,14,91,13,2.324,0.000,0.065,0.076,0.081,0.070,0.067,0.065,0.000,0.071,0.057,0.080,0.060,0.314,0.316,1.241,0.149,0.053,45.000,3.214,2.639,-15.315,6.000,0.000,0.677,8.000
4,14,91,13,0.252,0.000,0.073,0.103,0.089,0.088,0.062,0.071,0.000,0.072,0.079,0.099,0.069,0.272,0.464,0.873,0.172,0.064,57.000,4.071,2.639,-20.677,4.000,0.000,0.830,8.000
5,14,91,13,0.258,0.000,0.062,0.072,0.067,0.070,0.061,0.067,0.000,0.065,0.054,0.080,0.063,0.335,0.486,0.672,0.217,0.038,37.000,2.643,2.639,-11.273,3.000,0.000,0.623,6.000
6,14,91,13,0.240,0.000,0.063,0.078,0.106,0.058,0.068,0.073,0.000,0.072,0.064,0.080,0.072,0.287,0.387,0.076,0.155,0.050,48.000,3.429,2.639,-16.050,5.000,0.000,0.600,8.000
7,14,91,13,0.210,0.000,0.071,0.086,0.106,0.079,0.079,0.058,0.000,0.052,0.054,0.093,0.069,0.248,0.687,0.098,0.223,0.040,51.000,3.643,2.639,-15.793,4.000,0.000,0.605,5.000
8,14,91,13,0.191,0.000,0.084,0.095,0.082,0.072,0.070,0.051,0.000,0.049,0.064,0.083,0.070,0.239,0.546,0.378,0.266,0.058,38.000,2.714,2.639,-13.369,5.000,0.000,0.631,6.000
9,14,91,13,0.192,0.000,0.060,0.058,0.067,0.057,0.053,0.048,0.000,0.047,0.048,0.081,0.058,0.649,0.173,0.081,0.217,0.036,38.000,2.714,2.639,-11.403,6.000,0.000,0.544,7.000
10,14,91,13,0.361,0.000,0.065,0.064,0.069,0.059,0.050,0.051,0.000,0.059,0.050,0.105,0.082,0.258,0.085,0.071,0.159,0.050,42.000,3.000,2.639,-13.997,4.000,0.000,0.659,8.000
11,14,91,13,0.137,0.000,0.063,0.076,0.068,0.069,0.068,0.401,0.000,0.065,0.097,0.092,0.208,0.346,0.122,0.064,0.152,0.043,35.000,2.500,2.639,-11.103,6.000,0.000,0.687,7.000
12,14,91,13,0.213,0.000,0.054,0.074,0.071,0.066,0.056,0.044,0.000,0.052,0.050,0.069,0.060,0.225,0.091,0.104,0.195,0.053,31.000,2.214,2.639,-10.573,5.000,0.000,0.489,6.000
13,14,91,13,0.168,0.000,0.044,0.055,0.056,0.051,0.046,0.052,0.000,0.050,0.056,0.081,0.041,0.279,0.093,0.078,0.224,0.034,35.000,2.500,2.639,-10.358,6.000,0.000,0.489,8.000
14,14,91,13,0.214,0.000,0.056,0.071,0.078,0.061,0.058,0.068,0.000,0.070,0.068,0.077,0.073,0.344,0.093,0.076,0.151,0.054,49.000,3.500,2.639,-16.832,5.000,0.000,0.546,9.000
15,14,91,13,0.180,0.000,0.056,0.082,0.061,0.076,0.060,0.053,0.000,0.157,0.062,0.100,0.071,1.940,0.111,0.075,0.153,0.049,48.000,3.429,2.639,-15.875,4.000,0.000,0.589,7.000
16,14,91,13,0.130,0.000,0.047,0.058,0.050,0.057,0.049,0.056,0.000,0.055,0.060,0.062,0.048,0.085,0.109,0.072,0.217,0.046,29.000,2.071,2.639,-9.435,7.000,0.000,0.573,8.000
17,14,91,13,0.152,0.000,0.053,0.079,0.062,0.082,0.061,0.059,0.000,0.054,0.054,1.365,0.046,0.113,0.120,0.080,4.239,0.055,38.000,2.714,2.639,-13.095,5.000,0.000,0.620,7.000
18,14,91,13,0.185,0.000,0.071,0.106,0.083,0.066,0.061,0.072,0.000,0.074,0.067,0.071,0.064,0.114,0.100,0.079,0.150,0.053,49.000,3.500,2.639,-16.726,5.000,0.000,0.788,8.000
19,14,91,13,0.174,0.000,0.052,0.078,0.069,0.064,0.067,0.046,0.000,0.046,0.057,0.510,0.069,0.086,0.101,0.065,0.152,0.041,37.000,2.643,2.639,-11.584,5.000,0.000,0.569,6.000
20,14,91,13,0.138,0.000,0.052,2.515,0.092,0.061,0.323,0.063,0.000,0.061,0.059,0.091,0.045,0.092,0.090,0.062,0.162,0.040,32.000,2.286,2.639,-9.954,6.000,0.000,0.434,6.000
21,14,91,13,0.214,0.000,0.055,0.061,0.076,0.061,0.044,0.058,0.000,0.058,0.057,0.066,0.052,0.084,0.134,0.086,0.181,0.039,41.000,2.929,2.639,-12.680,6.000,0.000,0.550,7.000
22,14,91,13,0.159,0.000,0.042,0.043,0.048,0.047,0.036,0.054,0.000,0.051,0.055,0.054,0.036,0.076,0.075,0.067,0.065,0.030,27.000,1.929,2.639,-7.685,6.000,0.000,0.482,8.000
23,14,91,13,0.091,0.000,0.050,0.057,0.364,0.059,0.057,0.060,0.000,0.057,0.049,0.063,0.047,0.081,0.076,0.064,0.041,0.041,30.000,2.143,2.639,-9.413,3.000,0.000,0.463,8.000
24,14,91,13,0.095,0.000,0.072,0.079,0.079,0.071,0.063,0.057,0.000,0.060,0.054,0.078,0.064,0.067,0.099,0.139,0.041,0.058,40.000,2.857,2.639,-14.031,4.000,0.000,0.533,8.000
25,14,91,13,0.113,0.000,0.065,0.207,0.091,0.054,0.072,0.052,0.000,0.047,0.055,0.084,0.056,0.049,0.092,0.061,0.055,0.044,29.000,2.071,2.639,-9.287,6.000,0.000,0.434,5.000
26,14,91,13,0.095,0.000,0.060,0.072,0.077,0.060,0.064,0.065,0.000,0.067,0.058,0.078,0.058,0.074,0.097,0.070,0.043,0.049,44.000,3.143,2.639,-14.552,4.000,0.000,0.603,8.000
