,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,10,45,9,8.914,0.000,0.071,0.069,0.080,0.079,0.076,0.066,0.000,0.068,0.077,0.385,0.057,0.918,0.175,0.441,0.061,0.140,10.000,1.000,2.303,-5.082,6.000,0.000,0.233,5.000
1,10,45,9,0.118,0.000,0.013,0.078,0.025,0.032,0.031,0.023,0.000,0.026,0.041,0.081,0.019,0.078,0.069,0.761,0.056,0.023,10.000,1.000,2.303,-2.637,4.000,0.000,0.287,4.000
2,10,45,9,0.131,0.000,0.012,0.031,0.070,0.203,0.082,0.154,0.000,0.165,0.025,0.053,0.014,0.074,0.083,0.348,0.091,0.013,11.000,1.100,2.303,-2.544,5.000,0.000,0.333,3.000
3,10,45,9,0.148,0.000,0.020,0.023,0.041,0.027,0.020,0.030,0.000,0.043,0.053,0.031,0.023,0.136,0.053,0.429,0.088,0.018,9.000,0.900,2.303,-2.234,6.000,0.000,0.140,6.000
4,10,45,9,0.107,0.000,0.020,0.042,0.042,0.026,0.026,0.030,0.000,0.035,0.035,0.038,0.023,0.152,0.063,0.330,0.057,0.021,12.000,1.200,2.303,-3.095,6.000,0.000,0.143,6.000
5,10,45,9,0.150,0.000,0.036,0.041,0.045,0.038,0.035,0.038,0.000,0.044,0.053,0.047,0.039,0.192,0.117,0.678,0.086,0.027,19.000,1.900,2.303,-5.236,5.000,0.000,0.649,6.000
6,10,45,9,0.142,0.000,0.026,0.043,0.049,0.050,0.039,0.031,0.000,0.038,0.055,0.048,0.030,0.157,0.116,0.571,0.085,0.031,15.000,1.500,2.303,-4.298,5.000,0.000,0.347,5.000
7,10,45,9,0.155,0.000,0.023,0.029,0.029,0.024,0.026,0.029,0.000,0.034,0.036,0.037,0.057,0.122,0.074,0.348,0.058,0.023,13.000,1.300,2.303,-3.464,5.000,0.000,0.163,6.000
8,10,45,9,0.133,0.000,0.037,0.048,0.047,0.049,0.044,0.040,0.000,0.045,0.037,0.055,0.033,0.169,0.130,0.528,0.088,0.030,13.000,1.300,2.303,-3.699,6.000,0.000,0.514,5.000
9,10,45,9,0.132,0.000,0.016,0.024,0.020,0.021,0.015,0.017,0.000,0.018,0.018,0.031,0.019,0.101,0.074,0.466,0.084,0.013,10.000,1.000,2.303,-2.294,4.000,0.000,0.233,4.000
10,10,45,9,0.143,0.000,0.018,0.018,0.021,0.015,0.014,0.021,0.000,0.024,0.028,0.025,0.015,0.149,0.069,0.531,0.059,0.019,15.000,1.500,2.303,-3.762,5.000,0.000,0.667,7.000
11,10,45,9,0.142,0.000,0.163,0.014,0.019,0.011,0.009,0.019,0.000,0.018,0.019,0.022,0.016,0.117,0.044,0.233,0.132,0.016,12.000,1.200,2.303,-2.896,6.000,0.000,0.419,7.000
12,10,45,9,0.133,0.000,0.010,0.287,0.017,0.012,0.012,0.015,0.000,0.015,0.015,0.033,9.288,0.108,0.062,0.082,0.058,0.011,12.000,1.200,2.303,-2.647,4.000,0.000,0.233,5.000
13,10,45,9,0.141,0.000,0.011,0.017,0.019,0.011,0.012,0.017,0.000,0.017,0.017,0.027,0.012,0.077,0.095,0.100,0.084,0.010,12.000,1.200,2.303,-2.624,4.000,0.000,0.083,4.000
14,10,45,9,0.154,0.000,0.022,0.022,0.028,0.019,0.016,0.026,0.000,0.026,0.026,0.026,0.021,0.112,0.140,0.127,0.062,0.020,23.000,2.300,2.303,-5.854,5.000,0.000,0.732,6.000
15,10,45,9,0.091,0.000,0.009,0.009,0.011,0.008,0.004,0.010,0.000,0.011,0.008,0.011,0.008,0.042,0.057,0.068,0.056,0.006,9.000,0.900,2.303,-1.737,6.000,0.000,0.300,4.000
16,10,45,9,0.071,0.000,0.005,0.005,0.009,0.003,0.002,0.009,0.000,0.009,0.013,0.009,0.006,0.041,0.004,0.056,0.054,0.004,6.000,0.600,2.303,-1.105,6.000,0.000,0.000,4.000
17,10,45,9,0.084,0.000,0.011,0.013,0.017,0.012,0.011,0.019,0.000,0.028,0.024,0.019,0.012,0.077,0.018,0.084,0.058,0.012,12.000,1.200,2.303,-2.722,7.000,1.000,0.564,6.000
18,10,45,9,0.103,0.000,0.005,0.014,0.011,0.005,0.004,0.006,0.000,0.007,0.010,0.016,0.006,0.034,0.031,0.074,0.060,0.005,10.000,1.000,2.303,-1.890,3.000,0.000,0.000,2.000
19,10,45,9,0.068,0.000,0.008,0.012,0.012,0.008,0.006,0.012,0.000,0.015,0.011,0.016,0.009,0.061,0.013,0.071,0.059,0.011,9.000,0.900,2.303,-2.011,7.000,0.000,0.000,5.000
20,10,45,9,0.099,0.000,0.010,0.011,0.016,0.009,0.007,0.014,0.000,0.015,0.014,0.015,0.011,0.062,0.012,0.078,0.057,0.010,11.000,1.100,2.303,-2.384,5.000,0.000,0.320,6.000
21,10,45,9,0.079,0.000,0.005,0.006,0.011,0.004,0.003,0.007,0.000,0.008,0.008,0.009,0.008,0.033,0.005,0.060,0.055,0.005,7.000,0.700,2.303,-1.319,5.000,0.000,0.000,3.000
22,10,45,9,0.083,0.000,0.013,0.017,0.016,0.015,0.012,0.018,0.000,0.017,0.016,0.020,0.014,0.092,0.036,0.079,0.058,0.011,11.000,1.100,2.303,-2.423,5.000,0.000,0.367,5.000
23,10,45,9,0.103,0.000,0.012,0.013,0.017,0.010,0.009,0.017,0.000,0.015,0.016,0.018,0.182,0.063,0.017,0.083,0.058,0.009,12.000,1.200,2.303,-2.530,5.000,0.000,0.527,5.000
24,10,45,9,0.101,0.000,0.017,0.019,0.023,0.018,0.014,0.018,0.000,0.019,0.023,0.024,0.014,0.073,0.040,0.115,0.062,0.012,14.000,1.400,2.303,-3.188,5.000,0.000,0.302,5.000
25,10,45,9,0.099,0.000,0.012,0.012,0.014,0.008,0.006,0.008,0.000,0.009,0.010,0.014,0.010,0.038,0.011,0.079,0.056,0.006,11.000,1.100,2.303,-2.114,4.000,0.000,0.350,3.000
26,10,45,9,0.156,0.000,0.013,0.029,0.020,0.013,0.010,0.031,0.000,0.055,0.071,0.026,0.014,0.167,0.028,0.090,0.059,0.014,11.000,1.100,2.303,-2.555,5.000,0.000,0.481,5.000
27,10,45,9,0.141,0.000,0.013,0.020,0.029,0.037,0.017,0.016,0.000,0.015,0.013,0.023,0.013,0.056,0.028,0.131,0.060,0.011,11.000,1.100,2.303,-2.443,6.000,0.000,0.253,4.000
28,10,45,9,0.248,0.000,0.014,0.023,0.020,0.017,0.052,0.021,0.000,0.113,0.025,0.075,0.015,0.096,0.052,0.104,0.127,0.020,11.000,1.100,2.303,-2.803,6.000,0.000,0.407,5.000
29,10,45,9,0.202,0.000,0.020,0.018,0.021,0.012,0.011,0.056,0.000,0.023,0.353,0.027,0.021,0.211,0.017,0.116,0.090,0.072,12.000,1.200,2.303,-4.570,5.000,0.000,0.000,5.000
30,10,45,9,0.102,0.000,0.011,0.013,0.020,0.010,0.010,0.020,0.000,0.020,0.019,0.020,0.013,0.083,0.011,0.083,0.081,0.013,9.000,0.900,2.303,-2.069,6.000,0.000,0.287,5.000
31,10,45,9,0.135,0.000,0.024,0.031,0.028,0.027,0.025,0.032,0.000,0.032,0.034,0.033,0.024,0.036,0.033,0.120,0.086,0.022,16.000,1.600,2.303,-4.215,5.000,0.000,0.508,6.000
32,10,45,9,0.131,0.000,0.020,0.023,0.034,0.022,0.017,0.020,0.000,0.020,0.027,0.028,0.016,0.024,0.016,0.093,0.127,0.123,13.000,1.300,2.303,-6.209,3.000,0.000,0.383,4.000
