,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,10,45,9,5.567,0.000,0.036,0.043,0.034,0.044,0.030,0.037,0.000,0.040,0.066,0.281,0.057,0.453,0.077,0.335,0.054,0.093,12.000,1.200,2.303,-5.047,4.000,0.000,0.380,5.000
1,10,45,9,0.149,0.000,0.134,0.170,0.158,0.171,0.147,0.119,0.000,0.128,0.131,0.221,0.120,0.433,0.260,1.029,0.059,0.117,24.000,2.400,2.303,-11.165,3.000,0.000,0.613,6.000
2,10,45,9,0.103,0.000,0.077,0.106,0.169,0.285,0.138,0.041,0.000,0.056,0.212,0.178,0.082,0.109,0.157,0.735,0.054,0.032,17.000,1.700,2.303,-4.956,3.000,0.000,0.423,3.000
3,10,45,9,0.093,0.000,0.074,0.111,0.899,0.283,0.122,0.120,0.000,0.111,0.084,0.126,0.116,0.254,0.210,1.121,0.146,0.118,23.000,2.300,2.303,-10.775,4.000,0.000,0.602,5.000
4,10,45,9,0.074,0.000,0.050,0.058,0.059,0.067,0.057,0.054,0.000,0.068,0.054,0.065,0.050,0.183,0.111,0.605,0.061,0.055,13.000,1.300,2.303,-4.474,6.000,0.000,0.511,7.000
5,10,45,9,0.121,0.000,0.084,0.096,0.116,0.091,0.118,0.060,0.000,0.062,0.068,0.157,0.192,0.188,0.235,0.816,0.056,0.060,20.000,2.000,2.303,-7.126,4.000,0.000,0.490,5.000
6,10,45,9,0.109,0.000,0.051,0.032,0.043,0.025,0.049,0.019,0.000,0.017,0.018,0.026,0.022,0.146,0.228,1.127,0.068,0.024,26.000,2.600,2.303,-6.990,2.000,0.000,0.613,5.000
7,10,45,9,0.119,0.000,0.026,0.025,0.035,0.025,0.018,0.029,0.000,0.029,0.029,0.057,0.033,0.110,0.236,0.744,0.060,0.016,26.000,2.600,2.303,-6.307,2.000,0.000,0.700,4.000
8,10,45,9,0.078,0.000,0.010,0.010,0.012,0.008,0.008,0.014,0.000,0.014,0.014,0.015,0.012,0.464,0.055,0.335,0.050,0.009,15.000,1.500,2.303,-3.153,6.000,0.000,0.251,6.000
9,10,45,9,0.144,0.000,0.045,0.026,0.027,0.018,0.011,0.016,0.000,0.016,0.019,0.024,0.019,0.153,0.123,0.623,0.071,0.028,26.000,2.600,2.303,-7.244,4.000,0.000,0.759,5.000
