,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,384,73536,383,67.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,213.578,0.000,0.000,0.000,256.096,207.016,2006.530,239.161,0.000,827.000,2.154,5.951,-0.000,251.000,0.000,0.000,0.000
1,384,73536,383,13.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,139.465,0.000,0.000,0.000,294.755,231.280,1472.189,225.729,0.000,887.000,2.310,5.951,-0.000,261.000,0.000,0.000,0.000
2,384,73536,383,13.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,167.335,0.000,0.000,0.000,248.686,190.215,1367.337,36.965,0.000,1065.000,2.773,5.951,-0.000,265.000,0.000,0.000,0.000
3,384,73536,383,9.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,102.153,0.000,0.000,0.000,148.337,118.654,813.627,26.670,0.000,1036.000,2.698,5.951,-0.000,310.000,0.000,0.000,0.000
4,384,73536,383,3.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56.741,0.000,0.000,0.000,129.367,64.681,704.352,27.117,0.000,937.000,2.440,5.951,-0.000,293.000,0.000,0.000,0.000
5,384,73536,383,1.927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.605,0.000,0.000,0.000,141.813,101.565,834.699,27.672,0.000,1045.000,2.721,5.951,-0.000,281.000,0.000,0.000,0.000
6,384,73536,383,1.428,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.809,0.000,0.000,0.000,155.587,67.613,695.006,26.977,0.000,944.000,2.458,5.951,-0.000,294.000,0.000,0.000,0.000
7,384,73536,383,1.543,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.101,0.000,0.000,0.000,92.256,82.146,677.929,27.561,0.000,779.000,2.029,5.951,-0.000,252.000,0.000,0.000,0.000
8,384,73536,383,1.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.979,0.000,0.000,0.000,111.879,95.150,771.618,26.601,0.000,951.000,2.477,5.951,-0.000,264.000,0.000,0.000,0.000
9,384,73536,383,1.412,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,119.686,0.000,0.000,0.000,140.487,131.704,875.858,27.532,0.000,1145.000,2.982,5.951,-0.000,291.000,0.000,0.000,0.000
10,384,73536,383,1.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.201,0.000,0.000,0.000,95.375,75.130,692.492,28.216,0.000,883.000,2.299,5.951,-0.000,241.000,0.000,0.000,0.000
11,384,73536,383,1.435,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92.557,0.000,0.000,0.000,123.743,103.436,777.123,27.075,0.000,966.000,2.516,5.951,-0.000,283.000,0.000,0.000,0.000
12,384,73536,383,1.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78.871,0.000,0.000,0.000,109.223,92.530,719.907,27.658,0.000,963.000,2.508,5.951,-0.000,262.000,0.000,0.000,0.000
13,384,73536,383,1.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82.797,0.000,0.000,0.000,124.187,90.021,788.875,27.279,0.000,964.000,2.510,5.951,-0.000,273.000,0.000,0.000,0.000
14,384,73536,383,1.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78.976,0.000,0.000,0.000,105.737,94.119,695.931,28.733,0.000,878.000,2.286,5.951,-0.000,269.000,0.000,0.000,0.000
15,384,73536,383,1.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78.745,0.000,0.000,0.000,102.246,90.737,703.335,26.899,0.000,827.000,2.154,5.951,-0.000,275.000,0.000,0.000,0.000
16,384,73536,383,1.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,101.541,0.000,0.000,0.000,136.919,118.141,781.193,28.798,0.000,1075.000,2.799,5.951,-0.000,270.000,0.000,0.000,0.000
17,384,73536,383,1.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78.168,0.000,0.000,0.000,111.901,90.434,780.442,26.655,0.000,996.000,2.594,5.951,-0.000,280.000,0.000,0.000,0.000
18,384,73536,383,1.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,73.247,0.000,0.000,0.000,107.158,81.885,690.114,27.575,0.000,894.000,2.328,5.951,-0.000,280.000,0.000,0.000,0.000
19,384,73536,383,1.614,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,88.216,0.000,0.000,0.000,108.991,102.453,771.503,27.896,0.000,980.000,2.552,5.951,-0.000,255.000,0.000,0.000,0.000
20,384,73536,383,1.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,94.086,0.000,0.000,0.000,150.746,108.937,775.858,28.134,0.000,1070.000,2.786,5.951,-0.000,277.000,0.000,0.000,0.000
21,384,73536,383,1.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,77.080,0.000,0.000,0.000,105.468,97.213,756.383,27.349,0.000,924.000,2.406,5.951,-0.000,249.000,0.000,0.000,0.000
22,384,73536,383,1.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.227,0.000,0.000,0.000,118.767,97.478,724.722,27.798,0.000,974.000,2.536,5.951,-0.000,260.000,0.000,0.000,0.000
23,384,73536,383,1.389,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.628,0.000,0.000,0.000,114.716,69.707,713.312,26.090,0.000,906.000,2.359,5.951,-0.000,288.000,0.000,0.000,0.000
24,384,73536,383,1.653,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75.995,0.000,0.000,0.000,105.197,95.568,688.851,27.944,0.000,876.000,2.281,5.951,-0.000,254.000,0.000,0.000,0.000
25,384,73536,383,1.717,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.216,0.000,0.000,0.000,107.312,84.696,712.754,27.800,0.000,809.000,2.107,5.951,-0.000,255.000,0.000,0.000,0.000
26,384,73536,383,1.636,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.299,0.000,0.000,0.000,93.721,79.352,939.378,31.529,0.000,790.000,2.057,5.951,-0.000,233.000,0.000,0.000,0.000
27,384,73536,383,2.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.325,0.000,0.000,0.000,105.164,90.395,731.140,27.015,0.000,894.000,2.328,5.951,-0.000,246.000,0.000,0.000,0.000
28,384,73536,383,3.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,114.166,0.000,0.000,0.000,152.361,125.079,1288.294,32.853,0.000,983.000,2.560,5.951,-0.000,278.000,0.000,0.000,0.000
29,384,73536,383,1.876,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75.347,0.000,0.000,0.000,105.647,109.249,1087.170,28.103,0.000,956.000,2.490,5.951,-0.000,245.000,0.000,0.000,0.000
30,384,73536,383,1.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,520.384,0.000,0.000,0.000,388.915,85.205,934.767,196.811,0.000,993.000,2.586,5.951,-0.000,308.000,0.000,0.000,0.000
31,384,73536,383,5.420,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,73.438,0.000,0.000,0.000,102.166,102.810,702.110,26.890,0.000,780.000,2.031,5.951,-0.000,257.000,0.000,0.000,0.000
