,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,128,8128,127,35.963,0.000,188.454,154.944,268.829,226.065,214.199,184.105,0.000,49.844,88.705,112.476,115.324,111.692,417.556,635.705,16.440,0.000,3303.000,25.805,4.852,-0.000,38.000,0.000,0.667,0.000
1,128,8128,127,19.693,0.000,45.431,46.620,46.839,46.313,46.384,41.556,0.000,41.572,41.996,42.355,39.315,41.026,96.027,348.247,2.750,0.000,3631.000,28.367,4.852,-0.000,35.000,0.000,0.664,0.000
2,128,8128,127,14.501,0.000,48.375,58.805,65.447,79.283,93.546,58.550,0.000,61.899,49.665,49.475,48.473,35.772,72.597,297.451,2.290,0.000,4063.000,31.742,4.852,-0.000,22.000,0.000,0.698,0.000
3,128,8128,127,2.310,0.000,55.119,57.102,57.824,68.728,57.645,58.731,0.000,62.371,57.871,59.721,46.898,32.358,59.001,325.685,2.453,0.000,3299.000,25.773,4.852,-0.000,38.000,0.000,0.650,0.000
4,128,8128,127,1.966,0.000,43.832,44.385,43.509,44.813,56.279,56.991,0.000,48.424,39.928,44.279,43.511,33.914,74.717,298.698,1.896,0.000,3491.000,27.273,4.852,-0.000,42.000,0.000,0.715,0.000
5,128,8128,127,2.001,0.000,50.302,50.949,47.609,52.074,50.021,47.665,0.000,46.519,45.875,46.420,43.729,42.268,62.489,338.540,2.216,0.000,3444.000,26.906,4.852,-0.000,31.000,0.000,0.658,0.000
6,128,8128,127,2.371,0.000,47.040,47.294,47.536,47.465,47.606,42.238,0.000,42.305,42.497,47.793,48.060,33.211,73.450,292.713,1.831,0.000,3646.000,28.484,4.852,-0.000,40.000,0.000,0.751,0.000
7,128,8128,127,2.139,0.000,66.185,65.769,66.916,52.331,48.098,42.857,0.000,47.885,43.175,52.933,53.689,37.268,72.361,382.673,2.344,0.000,3615.000,28.242,4.852,-0.000,38.000,0.000,0.692,0.000
8,128,8128,127,2.263,0.000,50.579,52.148,54.559,53.473,53.097,47.059,0.000,46.267,45.248,52.230,46.526,36.613,77.340,327.624,1.752,0.000,3980.000,31.094,4.852,-0.000,30.000,0.000,0.696,0.000
9,128,8128,127,2.089,0.000,38.252,39.382,39.354,39.137,39.139,34.069,0.000,33.141,34.967,39.417,38.278,29.361,65.042,237.339,1.592,0.000,3595.000,28.086,4.852,-0.000,34.000,0.000,0.680,0.000
10,128,8128,127,2.023,0.000,41.199,41.152,40.121,40.801,41.194,35.013,0.000,34.796,36.186,47.728,48.523,35.431,60.198,249.420,1.635,0.000,3954.000,30.891,4.852,-0.000,23.000,0.000,0.698,0.000
11,128,8128,127,2.053,0.000,46.307,47.161,42.943,38.631,39.516,34.070,0.000,34.266,34.135,39.526,38.675,29.011,96.879,346.823,1.815,0.000,3597.000,28.102,4.852,-0.000,36.000,0.000,0.676,0.000
12,128,8128,127,1.634,0.000,36.293,37.096,35.934,37.182,37.212,32.747,0.000,33.419,34.680,36.110,35.276,27.451,52.380,236.852,1.526,0.000,3430.000,26.797,4.852,-0.000,39.000,0.000,0.691,0.000
13,128,8128,127,1.229,0.000,40.510,40.859,40.855,40.506,40.846,35.864,0.000,35.768,39.387,50.865,63.810,39.217,58.286,249.045,1.594,0.000,3644.000,28.469,4.852,-0.000,39.000,0.000,0.680,0.000
14,128,8128,127,1.764,0.000,43.642,42.381,39.130,39.110,39.132,34.333,0.000,34.322,33.773,39.603,38.770,30.225,79.835,262.935,1.880,0.000,3637.000,28.414,4.852,-0.000,36.000,0.000,0.677,0.000
15,128,8128,127,1.007,0.000,39.701,40.847,39.945,40.574,39.825,36.229,0.000,36.542,36.489,40.364,39.556,32.015,57.441,231.882,1.617,0.000,3685.000,28.789,4.852,-0.000,38.000,0.000,0.698,0.000
16,128,8128,127,1.091,0.000,36.135,38.036,37.615,37.925,38.071,33.055,0.000,32.679,33.060,38.103,35.922,29.488,57.059,222.643,1.562,0.000,3599.000,28.117,4.852,-0.000,34.000,0.000,0.697,0.000
