,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,12,66,11,5.827,0.000,0.043,0.122,0.092,0.051,0.040,0.059,0.000,0.068,0.125,0.506,0.097,0.666,0.181,0.864,0.141,0.134,13.000,1.083,2.485,-6.469,5.000,0.000,0.000,4.000
1,12,66,11,0.185,0.000,0.057,0.065,0.059,0.059,0.037,0.036,0.000,0.059,0.066,0.070,0.031,0.120,0.096,0.727,0.132,0.019,12.000,1.000,2.485,-3.018,5.000,0.000,0.139,3.000
2,12,66,11,0.181,0.000,5.064,1.363,0.185,0.144,1.672,0.237,0.000,0.114,0.127,0.135,0.106,0.271,0.168,0.890,0.099,0.059,20.000,1.667,2.485,-7.077,7.000,0.000,0.448,7.000
3,12,66,11,0.180,0.000,0.014,0.030,0.025,0.027,0.052,0.018,0.000,0.020,0.026,0.040,0.015,0.078,0.060,0.451,0.091,0.016,10.000,0.833,2.485,-2.415,5.000,0.000,0.000,3.000
4,12,66,11,0.163,0.000,0.042,1.284,0.085,0.053,0.066,0.041,0.000,0.041,0.056,0.079,0.076,2.502,2.227,2.409,1.002,2.695,12.000,1.000,2.485,12.103,4.000,0.000,0.083,5.000
5,12,66,11,0.133,0.000,0.017,0.061,0.032,0.014,0.013,0.029,0.000,0.033,0.047,0.031,0.022,0.201,0.107,0.948,0.136,0.017,13.000,1.083,2.485,-3.189,8.000,0.000,0.299,8.000
6,12,66,11,0.170,0.000,0.016,0.040,0.024,0.022,0.022,0.064,0.000,0.029,0.030,0.039,0.019,0.164,0.119,0.768,0.097,0.021,20.000,1.667,2.485,-5.198,7.000,0.000,0.315,6.000
7,12,66,11,0.159,0.000,0.017,0.024,0.023,0.019,0.016,0.023,0.000,0.027,0.026,0.028,0.019,0.196,0.104,0.609,0.095,0.018,16.000,1.333,2.485,-3.960,7.000,0.000,0.300,7.000
8,12,66,11,0.130,0.000,0.014,0.023,0.029,0.020,0.018,0.023,0.000,0.022,0.026,0.034,0.017,0.111,0.114,0.698,0.103,0.015,19.000,1.583,2.485,-4.500,6.000,0.000,0.474,6.000
9,12,66,11,0.128,0.000,0.022,0.028,0.021,0.027,0.024,0.023,0.000,0.022,0.046,0.034,0.020,0.095,0.121,2.452,0.096,0.021,16.000,1.333,2.485,-4.135,5.000,0.000,0.289,5.000
10,12,66,11,0.204,0.000,0.032,0.038,0.035,0.029,0.026,0.030,0.000,0.028,0.037,0.040,0.030,0.164,0.202,1.072,0.139,0.027,21.000,1.750,2.485,-5.787,6.000,0.000,0.401,6.000
