,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,14,91,13,6.201,0.000,1.224,0.799,0.246,0.449,0.414,0.766,0.000,0.463,0.347,1.846,0.144,0.845,0.859,1.324,0.236,0.669,16.000,1.143,2.639,-39.730,8.000,1.000,0.341,7.000
1,14,91,13,0.213,0.000,0.033,0.064,0.052,0.059,0.035,0.039,0.000,0.494,0.071,0.056,0.032,0.134,0.106,1.613,0.138,0.031,11.000,0.786,2.639,-3.176,5.000,0.000,0.000,5.000
2,14,91,13,0.172,0.000,0.041,0.054,0.070,0.060,0.939,0.148,0.000,0.078,0.236,0.068,0.047,0.548,0.128,0.908,0.141,0.038,18.000,1.286,2.639,-5.484,7.000,0.000,0.408,7.000
3,14,91,13,0.177,0.000,0.022,0.038,0.025,0.019,0.033,0.033,0.000,0.038,0.048,0.032,0.025,0.234,0.105,0.887,0.146,0.025,16.000,1.143,2.639,-4.318,10.000,0.000,0.148,10.000
4,14,91,13,0.168,0.000,0.023,0.023,0.031,0.105,0.019,0.024,0.000,0.022,0.023,0.032,0.017,0.156,0.099,0.916,0.145,0.013,18.000,1.286,2.639,-4.154,7.000,0.000,0.226,6.000
5,14,91,13,0.160,0.000,0.015,0.018,0.023,0.012,0.009,0.017,0.000,0.027,0.027,0.039,0.020,0.155,0.074,0.745,0.141,0.010,13.000,0.929,2.639,-2.838,5.000,0.000,0.000,5.000
6,14,91,13,0.223,0.000,0.014,0.034,0.039,0.019,0.029,0.025,0.000,0.025,0.028,0.042,0.019,0.132,0.149,0.926,0.143,0.019,17.000,1.214,2.639,-4.287,6.000,0.000,0.195,5.000
7,14,91,13,0.194,0.000,0.016,0.016,0.023,0.011,0.010,0.019,0.000,0.018,0.121,0.029,0.015,0.315,1.226,5.264,0.198,0.068,14.000,1.000,2.639,-5.196,6.000,0.000,0.131,5.000
8,14,91,13,0.197,0.000,0.020,0.027,0.032,0.024,0.023,0.033,0.000,0.035,0.037,0.037,0.024,3.584,0.041,0.237,0.144,0.021,19.000,1.357,2.639,-4.938,7.000,0.000,0.319,9.000
9,14,91,13,0.208,0.000,0.020,0.024,0.026,0.038,0.021,0.035,0.000,0.036,0.036,0.037,0.023,0.160,0.038,0.228,0.145,0.022,18.000,1.286,2.639,-4.718,10.000,0.000,0.291,10.000
10,14,91,13,0.197,0.000,0.021,0.029,0.034,0.023,0.020,0.031,0.000,0.030,0.034,0.036,0.023,0.139,0.040,0.247,0.146,0.024,18.000,1.286,2.639,-4.837,9.000,0.000,0.253,8.000
11,14,91,13,0.592,0.000,0.064,0.045,0.035,0.050,0.031,0.039,0.000,0.050,0.043,0.060,0.035,0.222,0.074,0.457,0.306,0.282,23.000,1.643,2.639,-18.151,8.000,0.000,0.353,9.000
12,14,91,13,0.166,0.000,0.023,0.030,0.032,0.055,0.022,0.031,0.000,0.069,0.029,0.042,0.033,0.143,0.045,0.086,0.230,0.027,19.000,1.357,2.639,-5.272,7.000,0.000,0.197,7.000
13,14,91,13,0.213,0.000,0.031,0.049,0.038,0.036,0.039,0.058,0.000,0.057,0.054,0.074,0.053,0.264,0.085,0.057,0.214,0.032,22.000,1.571,2.639,-6.394,9.000,0.000,0.612,9.000
14,14,91,13,0.150,0.000,0.021,0.031,0.033,0.029,0.026,0.039,0.000,0.040,0.041,0.047,0.027,0.211,0.052,0.051,0.148,0.023,21.000,1.500,2.639,-5.575,9.000,0.000,0.226,8.000
15,14,91,13,0.190,0.000,0.026,0.031,0.035,0.028,0.027,0.042,0.000,0.039,0.043,0.037,0.026,0.251,0.053,0.051,0.147,0.028,22.000,1.571,2.639,-6.173,9.000,0.000,0.580,9.000
16,14,91,13,0.542,0.000,0.023,0.025,0.036,0.022,0.019,0.028,0.000,0.025,0.028,0.030,0.027,0.070,0.045,0.046,0.145,0.018,16.000,1.143,2.639,-3.964,3.000,0.000,0.088,6.000
17,14,91,13,0.449,0.000,0.012,0.016,0.025,0.013,0.007,0.022,0.000,0.023,0.023,0.032,0.017,0.036,0.019,0.044,0.202,0.013,13.000,0.929,2.639,-2.993,8.000,0.000,0.167,6.000
18,14,91,13,0.224,0.000,0.017,0.023,0.029,0.018,0.015,0.022,0.000,0.021,0.027,0.029,0.017,0.036,0.034,0.052,0.211,0.011,14.000,1.000,2.639,-3.112,4.000,0.000,0.000,5.000
19,14,91,13,0.145,0.000,0.013,0.022,0.024,0.011,0.013,0.030,0.000,0.028,0.029,0.029,0.015,0.047,0.028,0.040,0.169,0.014,15.000,1.071,2.639,-3.524,9.000,0.000,0.186,8.000
20,14,91,13,0.113,0.000,0.017,0.020,0.025,0.019,0.018,0.029,0.000,0.068,0.039,0.040,0.028,0.055,0.035,0.041,0.190,0.015,16.000,1.143,2.639,-3.800,8.000,0.000,0.200,8.000
21,14,91,13,0.119,0.000,0.035,0.040,0.040,0.039,0.035,0.044,0.000,0.045,0.109,0.081,0.044,0.104,0.068,0.059,0.139,0.030,29.000,2.071,2.639,-8.234,9.000,0.000,0.619,9.000
22,14,91,13,0.158,0.000,0.025,0.031,0.041,0.030,0.024,0.032,0.000,0.035,0.058,0.239,0.078,0.062,0.052,0.050,0.053,0.023,21.000,1.500,2.639,-5.548,6.000,0.000,0.263,7.000
23,14,91,13,0.827,0.000,0.044,0.025,0.033,0.021,0.019,0.027,0.000,0.028,0.025,0.030,0.018,0.046,0.040,0.045,0.037,0.070,17.000,1.214,2.639,-6.407,8.000,0.000,0.413,7.000
24,14,91,13,0.128,0.000,0.049,0.052,0.063,0.041,0.048,0.059,0.000,0.058,0.055,0.057,0.048,0.101,0.129,0.078,0.049,0.038,36.000,2.571,2.639,-11.049,6.000,0.000,0.644,9.000
25,14,91,13,0.122,0.000,0.022,0.032,0.034,0.027,0.028,0.035,0.000,0.034,0.036,0.036,0.024,0.063,0.067,0.054,0.039,0.018,26.000,1.857,2.639,-6.442,5.000,0.000,0.411,7.000
26,14,91,13,0.082,0.000,0.009,0.010,0.020,0.009,0.006,0.020,0.000,0.021,0.022,0.015,0.012,0.033,0.012,0.033,0.033,0.008,11.000,0.786,2.639,-2.283,6.000,0.000,0.155,7.000
27,14,91,13,0.078,0.000,0.012,0.018,0.026,0.012,0.012,0.022,0.000,0.021,0.021,0.020,0.013,0.032,0.029,0.040,0.037,0.010,14.000,1.000,2.639,-3.046,7.000,0.000,0.107,6.000
28,14,91,13,0.082,0.000,0.026,0.036,0.037,0.021,0.032,0.032,0.000,0.031,0.029,0.040,0.024,0.060,0.077,0.052,0.038,0.021,24.000,1.714,2.639,-6.190,7.000,0.000,0.263,7.000
29,14,91,13,0.090,0.000,0.015,0.027,0.032,0.023,0.021,0.028,0.000,0.028,0.032,0.030,0.020,0.058,0.046,0.046,0.036,0.017,19.000,1.357,2.639,-4.669,6.000,0.000,0.440,7.000
30,14,91,13,0.082,0.000,0.021,0.026,0.027,0.024,0.022,0.039,0.000,0.041,0.041,0.031,0.021,0.066,0.050,0.042,0.034,0.024,19.000,1.357,2.639,-5.090,10.000,0.000,0.410,9.000
31,14,91,13,0.079,0.000,0.019,0.025,0.027,0.022,0.020,0.031,0.000,0.038,0.029,0.028,0.019,0.048,0.046,0.045,0.037,0.017,18.000,1.286,2.639,-4.407,9.000,0.000,0.367,8.000
32,14,91,13,0.086,0.000,0.018,0.023,0.031,0.018,0.017,0.029,0.000,0.030,0.031,0.025,0.018,0.048,0.036,0.045,0.037,0.016,19.000,1.357,2.639,-4.566,7.000,0.000,0.103,8.000
33,14,91,13,0.084,0.000,0.019,0.025,0.035,0.022,0.021,0.027,0.000,0.028,0.031,0.030,0.020,0.048,0.046,0.051,0.043,0.018,17.000,1.214,2.639,-4.227,6.000,0.000,0.224,6.000
34,14,91,13,0.112,0.000,0.027,0.038,0.051,0.036,0.028,0.033,0.000,0.027,0.035,0.040,0.029,0.050,0.080,0.065,0.048,0.017,26.000,1.857,2.639,-6.362,5.000,0.000,0.480,5.000
35,14,91,13,0.099,0.000,0.020,0.027,0.039,0.023,0.022,0.030,0.000,0.033,0.032,0.033,0.021,0.116,0.051,0.055,0.045,0.032,21.000,1.500,2.639,-6.106,8.000,0.000,0.448,7.000
36,14,91,13,0.095,0.000,0.022,0.029,0.032,0.026,0.021,0.040,0.000,0.036,0.040,0.033,0.024,0.057,0.053,0.055,0.044,0.017,19.000,1.357,2.639,-4.694,8.000,0.000,0.334,8.000
37,14,91,13,0.124,0.000,0.024,0.034,0.037,0.032,0.028,0.032,0.000,0.032,0.031,0.036,0.023,0.058,0.070,0.058,0.050,0.018,29.000,2.071,2.639,-7.223,5.000,0.000,0.578,7.000
38,14,91,13,0.086,0.000,0.026,0.032,0.038,0.027,0.027,0.037,0.000,0.036,0.032,0.036,0.028,0.061,0.062,0.058,0.044,0.017,19.000,1.357,2.639,-4.655,8.000,0.000,0.236,7.000
39,14,91,13,0.105,0.000,0.025,0.038,0.039,0.033,0.028,0.040,0.000,0.035,0.046,0.041,0.028,0.104,0.120,0.163,0.100,0.024,22.000,1.571,2.639,-5.888,8.000,0.000,0.268,7.000
40,14,91,13,0.224,0.000,0.022,0.043,0.039,0.039,0.038,0.034,0.000,0.034,0.038,0.045,0.033,0.054,0.071,0.057,0.103,0.020,26.000,1.857,2.639,-6.653,4.000,0.000,0.357,6.000
41,14,91,13,0.089,0.000,0.016,0.029,0.029,0.015,0.025,0.030,0.000,0.034,0.029,0.033,0.018,0.054,0.046,0.049,0.037,0.017,19.000,1.357,2.639,-4.694,8.000,0.000,0.172,8.000
42,14,91,13,0.088,0.000,0.027,0.027,0.046,0.026,0.023,0.037,0.000,0.071,0.051,0.049,0.025,0.333,0.040,0.049,0.061,0.025,20.000,1.429,2.639,-5.422,9.000,0.000,0.441,10.000
43,14,91,13,0.103,0.000,0.023,0.031,0.029,0.027,0.042,0.043,0.000,0.044,0.040,0.038,0.025,0.125,0.050,0.046,0.128,0.028,18.000,1.286,2.639,-5.038,12.000,0.000,0.386,10.000
44,14,91,13,0.141,0.000,0.014,0.039,0.036,0.027,0.023,0.026,0.000,0.025,0.031,0.034,0.018,0.061,0.045,0.053,0.020,0.014,20.000,1.429,2.639,-4.718,5.000,0.000,0.268,6.000
45,14,91,13,0.172,0.000,1.575,0.025,0.026,0.015,0.011,0.023,0.000,0.043,0.030,0.023,0.016,0.075,0.029,0.052,0.023,0.014,21.000,1.500,2.639,-4.909,5.000,0.000,0.391,7.000
