,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,12,66,11,6.539,0.000,0.311,0.514,0.416,0.381,0.232,0.190,0.000,0.201,0.267,0.576,0.162,1.054,0.611,1.308,0.103,0.139,42.000,3.500,2.485,-21.297,3.000,0.000,0.790,6.000
1,12,66,11,0.218,0.000,0.058,0.109,0.099,0.235,0.150,0.079,0.000,0.107,0.092,0.115,0.048,0.217,0.220,1.024,11.082,0.114,32.000,2.667,2.485,-14.726,3.000,0.000,0.623,5.000
2,12,66,11,0.194,0.000,0.049,0.087,0.047,0.073,0.037,0.184,0.000,0.051,0.178,0.073,0.038,3.256,0.166,7.763,0.097,0.051,31.000,2.583,2.485,-10.425,5.000,0.000,0.705,7.000
3,12,66,11,0.169,0.000,0.027,0.064,0.047,0.028,0.053,0.031,0.000,0.055,0.047,0.045,0.026,0.155,0.170,1.083,1.069,0.027,29.000,2.417,2.485,-7.995,5.000,0.000,0.467,6.000
4,12,66,11,0.219,0.000,0.035,0.041,0.042,0.032,0.028,0.037,0.000,0.037,0.038,0.054,0.033,0.246,0.322,2.744,0.100,0.029,34.000,2.833,2.485,-9.615,4.000,0.000,0.757,6.000
5,12,66,11,0.150,0.000,0.123,0.141,0.251,0.063,0.172,0.037,0.000,0.984,0.038,0.187,0.044,0.742,0.203,1.091,0.515,0.281,33.000,2.750,2.485,-26.009,5.000,0.000,0.659,6.000
6,12,66,11,0.343,0.000,0.478,0.036,0.038,0.030,0.022,0.030,0.000,0.030,0.034,0.046,0.026,0.183,0.660,0.982,0.376,0.228,29.000,2.417,2.485,-19.599,3.000,0.000,0.681,7.000
7,12,66,11,0.182,0.000,0.035,0.047,0.057,0.043,0.040,0.041,0.000,0.037,0.041,0.082,0.037,0.125,0.161,0.202,0.096,0.032,26.000,2.167,2.485,-7.537,3.000,0.000,0.575,6.000
8,12,66,11,0.149,0.000,0.040,0.110,0.050,0.078,0.036,0.044,0.000,0.047,0.068,0.087,0.041,0.145,0.261,0.261,0.101,0.042,36.000,3.000,2.485,-11.338,4.000,0.000,0.831,5.000
9,12,66,11,0.148,0.000,0.035,0.036,0.042,0.030,0.025,0.052,0.000,0.040,0.032,0.048,0.039,0.150,0.122,0.462,0.195,0.029,36.000,3.000,2.485,-10.123,4.000,0.000,0.507,6.000
10,12,66,11,0.141,0.000,0.038,0.042,0.046,0.034,0.082,0.038,0.000,0.037,0.035,0.064,0.040,0.220,0.175,0.425,0.148,0.040,31.000,2.583,2.485,-9.634,5.000,0.000,0.559,7.000
11,12,66,11,4.247,0.000,0.030,0.025,0.032,0.026,0.020,0.029,0.000,0.028,0.030,0.045,0.026,0.125,0.043,0.043,0.099,0.022,26.000,2.167,2.485,-6.815,4.000,0.000,0.365,7.000
12,12,66,11,0.158,0.000,0.044,0.057,0.055,0.041,0.034,0.037,0.000,0.040,0.036,0.048,0.169,0.185,0.095,0.074,0.104,0.032,34.000,2.833,2.485,-9.855,4.000,0.000,0.639,6.000
13,12,66,11,0.078,0.000,0.029,0.063,0.064,0.041,0.025,0.031,0.000,0.032,0.028,0.041,0.037,0.204,0.072,0.044,0.101,0.042,33.000,2.750,2.485,-10.407,4.000,0.000,0.612,6.000
14,12,66,11,0.091,0.000,0.040,0.041,0.061,0.855,0.056,0.051,0.000,0.050,0.075,0.049,0.058,0.453,0.099,0.063,0.145,0.030,44.000,3.667,2.485,-12.598,2.000,0.000,0.834,7.000
15,12,66,11,0.103,0.000,0.030,0.036,0.045,0.033,0.023,0.034,0.000,0.063,0.046,0.057,0.035,0.276,0.057,0.103,0.374,0.036,31.000,2.583,2.485,-9.296,1.000,0.000,0.598,7.000
16,12,66,11,0.371,0.000,0.024,0.030,0.033,0.027,0.027,0.046,0.000,0.034,0.032,0.035,0.024,0.119,0.053,0.037,0.099,0.025,24.000,2.000,2.485,-6.482,6.000,0.000,0.550,8.000
17,12,66,11,0.081,0.000,0.024,0.044,0.043,0.038,0.034,0.034,0.000,0.033,0.036,0.043,0.027,0.057,0.089,0.054,0.146,0.025,32.000,2.667,2.485,-8.627,4.000,0.000,0.591,5.000
18,12,66,11,0.073,0.000,0.021,0.026,0.032,0.025,0.024,0.037,0.000,0.034,0.039,0.031,0.026,0.070,0.054,0.046,0.144,0.021,27.000,2.250,2.485,-6.964,7.000,0.000,0.633,8.000
19,12,66,11,0.078,0.000,0.041,0.047,0.046,0.038,0.040,0.029,0.000,0.029,0.040,0.049,0.032,0.044,0.078,0.045,0.103,0.027,37.000,3.083,2.485,-10.213,4.000,0.000,0.651,5.000
20,12,66,11,0.161,0.000,0.032,0.038,0.048,0.035,0.031,0.035,0.000,0.036,0.037,0.046,0.038,0.060,0.073,0.050,0.101,0.024,42.000,3.500,2.485,-11.203,4.000,0.000,0.644,6.000
