,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,6,15,5,6.198,0.000,0.063,5.316,0.079,0.057,0.032,0.047,0.000,0.049,0.047,17.752,0.064,0.776,0.074,0.147,0.029,3.442,9.000,1.500,1.792,7.282,2.000,0.000,0.611,3.000
1,6,15,5,0.088,0.000,0.027,0.039,0.023,0.038,0.030,0.025,0.000,0.026,0.035,0.041,0.026,0.045,0.030,0.091,0.017,0.025,8.000,1.333,1.792,-2.173,3.000,0.000,0.583,2.000
2,6,15,5,0.078,0.000,0.008,0.015,0.017,0.008,0.011,0.011,0.000,0.013,0.014,1.335,0.024,0.057,0.028,0.101,0.017,0.011,7.000,1.167,1.792,-1.556,2.000,0.000,0.389,2.000
3,6,15,5,0.090,0.000,0.013,0.018,0.020,0.012,0.008,0.015,0.000,0.062,0.017,0.019,0.013,0.052,0.027,0.163,0.026,0.015,7.000,1.167,1.792,-1.672,3.000,0.000,0.278,3.000
4,6,15,5,0.077,0.000,0.009,0.014,0.013,0.020,0.010,0.015,0.000,0.016,0.015,0.019,0.011,0.050,0.028,0.088,0.016,0.010,8.000,1.333,1.792,-1.731,4.000,0.000,0.633,3.000
5,6,15,5,0.065,0.000,0.012,0.015,0.052,0.011,0.009,0.013,0.000,0.014,0.011,0.022,0.010,0.047,0.026,0.075,0.016,0.009,7.000,1.167,1.792,-1.476,2.000,0.000,0.778,3.000
6,6,15,5,0.058,0.000,0.008,0.017,0.022,0.007,0.011,0.011,0.000,0.016,0.013,0.023,0.012,3.277,0.038,0.126,0.024,0.009,8.000,1.333,1.792,-1.700,2.000,0.000,0.389,2.000
7,6,15,5,0.151,0.000,0.034,0.046,0.047,0.016,0.070,0.013,0.000,0.013,0.011,0.037,0.017,0.089,0.041,0.807,0.017,0.012,10.000,1.667,1.792,-2.275,2.000,0.000,0.806,2.000
8,6,15,5,0.076,0.000,0.008,0.021,0.022,0.012,0.008,0.008,0.000,0.010,0.028,0.020,0.009,0.038,0.040,0.101,0.016,0.010,8.000,1.333,1.792,-1.731,2.000,0.000,0.250,2.000
9,6,15,5,0.051,0.000,0.006,0.008,0.009,0.003,0.003,0.006,0.000,0.008,0.006,0.013,0.006,0.034,0.023,0.067,0.016,0.009,6.000,1.000,1.792,-1.270,3.000,0.000,0.000,2.000
